Gene_name,Ensemble_id,Protein_ensembl_id,Locus
SERPINB10,ENSCAFG00845002109,ENSCAFP00845002914.1,1:13089376:13111313:-1
SERPINB2,ENSCAFG00845002126,ENSCAFP00845002955.1,1:13115382:13128076:-1
SERPINB7,ENSCAFG00845002152,ENSCAFP00845003019.1,1:13191168:13218577:-1
SERPINB11,ENSCAFG00845002203,ENSCAFP00845003112.1,1:13265635:13323647:-1
SERPINB13,ENSCAFG00845002264,ENSCAFP00845003157.1,1:13348954:13361049:-1
SERPINB12,ENSCAFG00845002284,ENSCAFP00845003200.1,1:13374488:13395606:-1
SERPINB5,ENSCAFG00845002320,ENSCAFP00845003396.1,1:13424299:13500439:-1
VPS4B,ENSCAFG00845002445,ENSCAFP00845003449.1,1:13500668:13534959:1
KDSR,ENSCAFG00845002496,ENSCAFP00845003613.1,1:13550482:13585739:1
BCL2,ENSCAFG00845002725,ENSCAFP00845003883.1,1:13595393:13762292:1
PHLPP1,ENSCAFG00845000002,ENSCAFP00845000003.1,1:13886541:14093809:-1
ZCCHC2,ENSCAFG00845000016,ENSCAFP00845000023.1,1:14191689:14254282:-1
TNFRSF11A,ENSCAFG00845000032,ENSCAFP00845000037.1,1:14362935:14416396:-1
RELCH,ENSCAFG00845000036,ENSCAFP00845000058.1,1:14438443:14544504:-1
PIGN,ENSCAFG00845000068,ENSCAFP00845000123.1,1:14544754:14652948:1
CDH20,ENSCAFG00845000129,ENSCAFP00845000148.1,1:15054287:15106347:-1
MC4R,ENSCAFG00845000280,ENSCAFP00845000290.1,1:16003440:16004931:1
PMAIP1,ENSCAFG00845000304,ENSCAFP00845000319.1,1:16340519:16344361:-1
CCBE1,ENSCAFG00845000419,ENSCAFP00845000470.1,1:16468223:16697173:1
LMAN1,ENSCAFG00845000443,ENSCAFP00845000613.1,1:16746353:16773529:1
CPLX4,ENSCAFG00845000529,ENSCAFP00845000637.1,1:16778047:16798885:1
RAX,ENSCAFG00845000544,ENSCAFP00845000661.1,1:16817415:16821898:1
GRP,ENSCAFG00845000570,ENSCAFP00845000684.1,1:16851714:16864617:-1
SEC11C,ENSCAFG00845000586,ENSCAFP00845000730.1,1:16897389:16913091:-1
OACYL,ENSCAFG00845000613,ENSCAFP00845000764.1,1:16951690:17020762:-1
ZNF532,ENSCAFG00845000673,ENSCAFP00845000888.1,1:17029739:17138566:-1
MALT1,ENSCAFG00845000742,ENSCAFP00845000972.1,1:17232315:17291990:-1
ALPK2,ENSCAFG00845000830,ENSCAFP00845001114.1,1:17326518:17446007:1
NEDD4L,ENSCAFG00845001211,ENSCAFP00845002339.1,1:17509486:17849053:-1
ATP8B1,ENSCAFG00845001746,ENSCAFP00845002450.1,1:18037169:18160558:1
NARS1,ENSCAFG00845001801,ENSCAFP00845002545.1,1:18201977:18239035:1
FECH,ENSCAFG00845001850,ENSCAFP00845002575.1,1:18227772:18265197:1
ONECUT2,ENSCAFG00845001888,ENSCAFP00845002616.1,1:18321366:18368530:-1
ST8SIA3,ENSCAFG00845001921,ENSCAFP00845002664.1,1:18429949:18439735:-1
WDR7,ENSCAFG00845002062,ENSCAFP00845003077.1,1:18689072:19041460:-1
TXNL1,ENSCAFG00845002269,ENSCAFP00845003209.1,1:19054695:19088826:1
TCF4,ENSCAFG00845002403,ENSCAFP00845003597.1,1:19945045:20305954:1
CCDC68,ENSCAFG00845002566,ENSCAFP00845003624.1,1:20539286:20576143:1
RAB27B,ENSCAFG00845002581,ENSCAFP00845003649.1,1:20582170:20718762:-1
DYNAP,ENSCAFG00845002605,ENSCAFP00845003685.1,1:20787800:20793388:-1
CUPIN1,ENSCAFG00845002731,ENSCAFP00845004021.1,1:20954207:21016267:-1
STARD6,ENSCAFG00845002868,ENSCAFP00845004037.1,1:21019460:21035360:1
POLI,ENSCAFG00845002887,ENSCAFP00845004081.1,1:21056040:21081214:-1
MBD2,ENSCAFG00845002942,ENSCAFP00845004156.1,1:21116176:21179029:1
DCC,ENSCAFG00845003053,ENSCAFP00845004378.1,1:21688157:22774948:-1
MEX3C,ENSCAFG00845003206,ENSCAFP00845004471.1,1:23710585:23730457:1
SMAD4,ENSCAFG00845003229,ENSCAFP00845004525.1,1:23772518:23821180:-1
ELAC1,ENSCAFG00845003249,ENSCAFP00845004533.1,1:23846514:23862884:-1
ME2,ENSCAFG00845003293,ENSCAFP00845004704.1,1:23876878:23925505:-1
MRO,ENSCAFG00845003352,ENSCAFP00845004839.1,1:23964597:23980855:1
MC2R,ENSCAFG00845003453,ENSCAFP00845004877.1,1:24287715:24288606:1
MC5R,ENSCAFG00845003464,ENSCAFP00845004889.1,1:24328810:24329788:-1
RNMT,ENSCAFG00845003471,ENSCAFP00845004911.1,1:24363992:24396571:-1
FAM210A,ENSCAFG00845003487,ENSCAFP00845004923.1,1:24396740:24426405:1
LDLRAD4,ENSCAFG00845004440,ENSCAFP00845006303.1,1:24448555:24835772:-1
CCN2,ENSCAFG00845004492,ENSCAFP00845006328.1,1:24930013:24933489:-1
MOXD1,ENSCAFG00845004576,ENSCAFP00845006471.1,1:25327252:25423145:-1
STX7,ENSCAFG00845004632,ENSCAFP00845006545.1,1:25458137:25518571:-1
TAAR5,ENSCAFG00845004676,ENSCAFP00845006577.1,1:25550850:25551864:-1
TAAR4,ENSCAFG00845004684,ENSCAFP00845006586.1,1:25557859:25558906:-1
VNN1,ENSCAFG00845004723,ENSCAFP00845006661.1,1:25767889:25796358:-1
SLC18B1,ENSCAFG00845004799,ENSCAFP00845006787.1,1:25948955:25972872:-1
RPS12,ENSCAFG00845004862,ENSCAFP00845006857.1,1:25987415:25990082:1
EYA4,ENSCAFG00845004896,ENSCAFP00845006921.1,1:26357637:26682163:1
TCF21,ENSCAFG00845004920,ENSCAFP00845006939.1,1:27015080:27017857:1
TBPL1,ENSCAFG00845004926,ENSCAFP00845006950.1,1:27058290:27096959:1
SLC2A12,ENSCAFG00845004951,ENSCAFP00845006994.1,1:27069862:27152307:-1
SGK1,ENSCAFG00845004995,ENSCAFP00845007074.1,1:27245017:27354852:-1
ALDH8A1,ENSCAFG00845005024,ENSCAFP00845007095.1,1:27830695:27852360:-1
HBS1L,ENSCAFG00845005059,ENSCAFP00845007207.1,1:27860023:27947992:-1
MYB,ENSCAFG00845005160,ENSCAFP00845007328.1,1:28064301:28148144:1
AHI1,ENSCAFG00845005265,ENSCAFP00845007486.1,1:28154193:28354314:-1
PDE7B,ENSCAFG00845005425,ENSCAFP00845007641.1,1:28635502:28950201:1
MTFR2,ENSCAFG00845005614,ENSCAFP00845007772.1,1:28984793:29000115:-1
BCLAF1,ENSCAFG00845005654,ENSCAFP00845007853.1,1:29008043:29037461:-1
MAP7,ENSCAFG00845005916,ENSCAFP00845008495.1,1:29089107:29262496:-1
MAP3K5,ENSCAFG00845006194,ENSCAFP00845008580.1,1:29268506:29467038:-1
PEX7,ENSCAFG00845006309,ENSCAFP00845008777.1,1:29498391:29579297:1
SLC35D3,ENSCAFG00845006386,ENSCAFP00845008842.1,1:29587176:29590388:1
IL20RA,ENSCAFG00845006434,ENSCAFP00845008933.1,1:29667830:29707365:-1
IL22RA2,ENSCAFG00845006505,ENSCAFP00845009047.1,1:29772669:29793943:-1
IFNGR1,ENSCAFG00845006567,ENSCAFP00845009095.1,1:29806102:29831092:-1
TNFAIP3,ENSCAFG00845006723,ENSCAFP00845009322.1,1:30415166:30428600:1
PERP,ENSCAFG00845006792,ENSCAFP00845009402.1,1:30586648:30603057:-1
ARFGEF3,ENSCAFG00845006884,ENSCAFP00845009805.1,1:30646227:30818792:1
NHSL1,ENSCAFG00845007489,ENSCAFP00845010553.1,1:30879538:31139254:-1
HEBP2,ENSCAFG00845007775,ENSCAFP00845010621.1,1:30879826:30887834:1
CCDC28A,ENSCAFG00845010054,ENSCAFP00845013813.1,1:31207394:31221439:1
ECT2L,ENSCAFG00845010165,ENSCAFP00845014006.1,1:31232948:31300641:1
REPS1,ENSCAFG00845010329,ENSCAFP00845014482.1,1:31302828:31386098:-1
ABRACL,ENSCAFG00845010575,ENSCAFP00845014518.1,1:31416540:31428489:1
HECA,ENSCAFG00845010601,ENSCAFP00845014598.1,1:31492488:31665998:1
TXLNB,ENSCAFG00845010652,ENSCAFP00845014655.1,1:31575903:31625667:-1
CITED2,ENSCAFG00845010679,ENSCAFP00845014698.1,1:31685297:31686119:-1
NMBR,ENSCAFG00845010954,ENSCAFP00845015134.1,1:33947113:33976148:-1
GJE1,ENSCAFG00845010994,ENSCAFP00845015183.1,1:33994677:33996507:1
VTA1,ENSCAFG00845011029,ENSCAFP00845015420.1,1:34004745:34070565:1
ADGRG6,ENSCAFG00845011283,ENSCAFP00845016210.1,1:34142967:34281608:1
HIVEP2,ENSCAFG00845011748,ENSCAFP00845016366.1,1:34542249:34735498:-1
AIG1,ENSCAFG00845011826,ENSCAFP00845016679.1,1:34810925:35059489:1
ADAT2,ENSCAFG00845011977,ENSCAFP00845016775.1,1:35140882:35169227:-1
PEX3,ENSCAFG00845012053,ENSCAFP00845016871.1,1:35169268:35209374:1
FUCA2,ENSCAFG00845012120,ENSCAFP00845016921.1,1:35210147:35228087:-1
PHACTR2,ENSCAFG00845012219,ENSCAFP00845017366.1,1:35268890:35524725:1
LTV1,ENSCAFG00845012485,ENSCAFP00845017482.1,1:35541356:35594842:1
LTV1,ENSCAFG00845012627,ENSCAFP00845017640.1,1:35544534:35549686:-1
ZC2HC1B,ENSCAFG00845012671,ENSCAFP00845017729.1,1:35555651:35597950:1
PLAGL1,ENSCAFG00845012757,ENSCAFP00845017810.1,1:35599534:35705542:-1
SF3B5,ENSCAFG00845012827,ENSCAFP00845017877.1,1:35739639:35739900:-1
STX11,ENSCAFG00845012845,ENSCAFP00845017901.1,1:35822405:35823269:1
UTRN,ENSCAFG00845012944,ENSCAFP00845018299.1,1:35845083:36401052:1
EPM2A,ENSCAFG00845013257,ENSCAFP00845018583.1,1:37028268:37141626:-1
FBXO30,ENSCAFG00845013317,ENSCAFP00845018622.1,1:37182902:37200609:-1
SHPRH,ENSCAFG00845013379,ENSCAFP00845019003.1,1:37251282:37345584:-1
GRM1,ENSCAFG00845013661,ENSCAFP00845019164.1,1:37381684:37768980:1
RAB32,ENSCAFG00845013710,ENSCAFP00845019211.1,1:37865533:37889049:1
ADGB,ENSCAFG00845013765,ENSCAFP00845019498.1,1:37922512:38084144:1
STXBP5,ENSCAFG00845014465,ENSCAFP00845023643.1,1:38443200:38605356:1
SAMD5,ENSCAFG00845017100,ENSCAFP00845023739.1,1:38687296:38743365:1
SASH1,ENSCAFG00845017257,ENSCAFP00845024527.1,1:39321448:39651475:1
UST,ENSCAFG00845017900,ENSCAFP00845024847.1,1:39810042:40102150:1
TAB2,ENSCAFG00845018045,ENSCAFP00845025028.1,1:40326466:40396378:1
ZC3H12D,ENSCAFG00845018177,ENSCAFP00845025169.1,1:40431811:40459442:-1
PPIL4,ENSCAFG00845018247,ENSCAFP00845025233.1,1:40474473:40522019:-1
GINM1,ENSCAFG00845018387,ENSCAFP00845025568.1,1:40522090:40554488:1
KATNA1,ENSCAFG00845018545,ENSCAFP00845025742.1,1:40552687:40602870:-1
LATS1,ENSCAFG00845018656,ENSCAFP00845025826.1,1:40610378:40637809:-1
NUP43,ENSCAFG00845018774,ENSCAFP00845025988.1,1:40663533:40673897:-1
PCMT1,ENSCAFG00845018925,ENSCAFP00845026456.1,1:40676145:40722403:1
LRP11,ENSCAFG00845019246,ENSCAFP00845026549.1,1:40733652:40772711:-1
ATP5MK,ENSCAFG00845019515,ENSCAFP00845026940.1,1:40787066:40787243:1
PPP1R14C,ENSCAFG00845019656,ENSCAFP00845027165.1,1:40892921:40978116:1
IYD,ENSCAFG00845019736,ENSCAFP00845027246.1,1:41072212:41090215:1
PLEKHG1,ENSCAFG00845019814,ENSCAFP00845027359.1,1:41313939:41479995:1
MTHFD1L,ENSCAFG00845020116,ENSCAFP00845028999.1,1:41492924:41680486:1
AKAP12,ENSCAFG00845021174,ENSCAFP00845029374.1,1:41799969:41895674:1
ZBTB2,ENSCAFG00845021289,ENSCAFP00845029416.1,1:41904582:41928302:-1
RMND1,ENSCAFG00845000007,ENSCAFP00845000004.1,1:41940009:41984848:-1
ARMT1,ENSCAFG00845000014,ENSCAFP00845000009.1,1:41984838:41999589:1
CCDC170,ENSCAFG00845000020,ENSCAFP00845000020.1,1:42020713:42119544:1
ESR1,ENSCAFG00845000028,ENSCAFP00845000029.1,1:42267395:42570184:1
SYNE1,ENSCAFG00845000043,ENSCAFP00845000085.1,1:42566921:43015508:-1
MYCT1,ENSCAFG00845000077,ENSCAFP00845000102.1,1:43049589:43093349:1
VIP,ENSCAFG00845000085,ENSCAFP00845000111.1,1:43121201:43130243:1
FBXO5,ENSCAFG00845000104,ENSCAFP00845000135.1,1:43322262:43332336:-1
MTRF1L,ENSCAFG00845000120,ENSCAFP00845000146.1,1:43336147:43350213:-1
RGS17,ENSCAFG00845000141,ENSCAFP00845000163.1,1:43356365:43448494:-1
OPRM1,ENSCAFG00845000160,ENSCAFP00845000189.1,1:44156500:44325450:1
CNKSR3,ENSCAFG00845000205,ENSCAFP00845000246.1,1:44253529:44552166:-1
SCAF8,ENSCAFG00845000294,ENSCAFP00845000332.1,1:44739838:44821101:1
TIAM2,ENSCAFG00845000411,ENSCAFP00845000556.1,1:45053767:45184501:1
TFB1M,ENSCAFG00845000478,ENSCAFP00845000568.1,1:45182618:45255027:-1
CLDN20,ENSCAFG00845000485,ENSCAFP00845000581.1,1:45201448:45202108:1
NOX3,ENSCAFG00845000506,ENSCAFP00845000624.1,1:45309795:45370432:-1
ARID1B,ENSCAFG00845000636,ENSCAFP00845000945.1,1:46509496:46986887:1
TMEM242,ENSCAFG00845000782,ENSCAFP00845000998.1,1:47055299:47094422:-1
LDHAL6B,ENSCAFG00845000800,ENSCAFP00845001017.1,1:47065795:47088615:-1
ZDHHC14,ENSCAFG00845000812,ENSCAFP00845001035.1,1:47130999:47402551:1
SNX9,ENSCAFG00845000878,ENSCAFP00845001278.1,1:47530967:47644779:1
SYNJ2,ENSCAFG00845000995,ENSCAFP00845001446.1,1:47669792:47771015:1
SERAC1,ENSCAFG00845001134,ENSCAFP00845001591.1,1:47785903:47855825:-1
GTF2H5,ENSCAFG00845001194,ENSCAFP00845001604.1,1:47855957:47868083:1
TULP4,ENSCAFG00845001243,ENSCAFP00845001709.1,1:47913844:48139520:1
TMEM181,ENSCAFG00845001296,ENSCAFP00845001774.1,1:48171281:48244285:1
DYNLT1,ENSCAFG00845001317,ENSCAFP00845001793.1,1:48244956:48253247:-1
SYTL3,ENSCAFG00845001348,ENSCAFP00845001841.1,1:48259344:48346110:1
EZR,ENSCAFG00845001373,ENSCAFP00845001902.1,1:48346326:48397690:-1
RSPH3,ENSCAFG00845001431,ENSCAFP00845001950.1,1:48513533:48534213:-1
TAGAP,ENSCAFG00845001461,ENSCAFP00845001991.1,1:48567855:48577377:-1
FNDC1,ENSCAFG00845001542,ENSCAFP00845002290.1,1:48687088:48789884:1
SOD2,ENSCAFG00845001754,ENSCAFP00845002494.1,1:49020474:49139710:-1
WTAP,ENSCAFG00845001806,ENSCAFP00845002539.1,1:49160692:49189019:1
ACAT2,ENSCAFG00845001848,ENSCAFP00845002568.1,1:49196174:49214050:1
TCP1,ENSCAFG00845001904,ENSCAFP00845002681.1,1:49213960:49222697:-1
MRPL18,ENSCAFG00845001976,ENSCAFP00845002732.1,1:49223558:49228207:1
PNLDC1,ENSCAFG00845001998,ENSCAFP00845002791.1,1:49229839:49248343:1
MAS1,ENSCAFG00845002042,ENSCAFP00845002826.1,1:49274154:49289356:1
IGF2R,ENSCAFG00845002089,ENSCAFP00845002896.1,1:49345405:49445163:1
SLC22A1,ENSCAFG00845002132,ENSCAFP00845002976.1,1:49451181:49482182:1
SLC22A2,ENSCAFG00845002163,ENSCAFP00845003016.1,1:49503307:49533595:-1
SLC22A3,ENSCAFG00845002183,ENSCAFP00845003062.1,1:49593125:49681430:1
PLG,ENSCAFG00845002222,ENSCAFP00845003117.1,1:49682495:49720525:-1
MAP3K4,ENSCAFG00845002271,ENSCAFP00845003233.1,1:49776183:49887472:1
AGPAT4,ENSCAFG00845002356,ENSCAFP00845003347.1,1:49894611:50023044:-1
PRKN,ENSCAFG00845002459,ENSCAFP00845003605.1,1:50071596:51381376:-1
PACRG,ENSCAFG00845002583,ENSCAFP00845003645.1,1:51381775:51894290:1
QKI,ENSCAFG00845002617,ENSCAFP00845003726.1,1:51977026:52136022:1
C1H6orf118,ENSCAFG00845004390,ENSCAFP00845006247.1,1:53593254:53623663:-1
PDE10A,ENSCAFG00845004510,ENSCAFP00845006532.1,1:53639078:53984940:-1
TBXT,ENSCAFG00845004679,ENSCAFP00845006603.1,1:54360927:54369833:-1
SFT2D1,ENSCAFG00845004712,ENSCAFP00845006641.1,1:54512835:54531296:-1
MPC1,ENSCAFG00845004722,ENSCAFP00845006662.1,1:54557927:54574770:-1
RPS6KA2,ENSCAFG00845004742,ENSCAFP00845006728.1,1:54592817:54938570:-1
RNASET2,ENSCAFG00845004774,ENSCAFP00845006767.1,1:54951256:55001687:-1
CEP43,ENSCAFG00845004808,ENSCAFP00845006806.1,1:55029727:55059550:1
CCR6,ENSCAFG00845004836,ENSCAFP00845006829.1,1:55124871:55141497:1
GPR31,ENSCAFG00845004842,ENSCAFP00845006837.1,1:55157044:55157995:-1
TTLL2,ENSCAFG00845004871,ENSCAFP00845006867.1,1:55217231:55218797:-1
UNC93A,ENSCAFG00845004882,ENSCAFP00845006887.1,1:55234726:55273717:-1
FRMD1,ENSCAFG00845005116,ENSCAFP00845007212.1,1:55777690:55792137:-1
DACT2,ENSCAFG00845005143,ENSCAFP00845007244.1,1:55911157:55921129:-1
SMOC2,ENSCAFG00845005168,ENSCAFP00845007302.1,1:56009365:56168233:1
THBS2,ENSCAFG00845005227,ENSCAFP00845007401.1,1:56584695:56613622:-1
WDR27,ENSCAFG00845005366,ENSCAFP00845007605.1,1:56755068:56969545:-1
DSE,ENSCAFG00845005500,ENSCAFP00845007668.1,1:56970001:57049003:1
CALHM6,ENSCAFG00845005516,ENSCAFP00845007680.1,1:57076421:57078292:1
TRAPPC3L,ENSCAFG00845005532,ENSCAFP00845007693.1,1:57104996:57168090:-1
CALHM5,ENSCAFG00845005557,ENSCAFP00845007706.1,1:57110684:57115282:1
CALHM4,ENSCAFG00845005573,ENSCAFP00845007722.1,1:57154862:57159877:1
RWDD1,ENSCAFG00845005610,ENSCAFP00845007778.1,1:57168997:57190562:1
RSPH4A,ENSCAFG00845005676,ENSCAFP00845007854.1,1:57246186:57259797:1
ZUP1,ENSCAFG00845005699,ENSCAFP00845007898.1,1:57261961:57290365:-1
KPNA5,ENSCAFG00845005742,ENSCAFP00845007934.1,1:57294064:57335906:1
FAM162B,ENSCAFG00845005779,ENSCAFP00845007970.1,1:57342629:57351473:-1
GPRC6A,ENSCAFG00845005820,ENSCAFP00845008035.1,1:57373197:57393895:-1
RFX6,ENSCAFG00845005871,ENSCAFP00845008085.1,1:57423952:57479108:1
VGLL2,ENSCAFG00845005929,ENSCAFP00845008202.1,1:57711801:57784645:1
ROS1,ENSCAFG00845006019,ENSCAFP00845008536.1,1:57737369:57859071:-1
DCBLD1,ENSCAFG00845006335,ENSCAFP00845008897.1,1:57892805:57981253:1
GOPC,ENSCAFG00845006479,ENSCAFP00845009114.1,1:57970098:58011073:-1
NEPN,ENSCAFG00845006606,ENSCAFP00845009148.1,1:58020116:58039400:1
NUS1,ENSCAFG00845006635,ENSCAFP00845009190.1,1:58050870:58079506:1
SLC35F1,ENSCAFG00845006677,ENSCAFP00845009393.1,1:58195170:58584852:1
CEP85L,ENSCAFG00845006869,ENSCAFP00845009705.1,1:58595026:58826040:-1
PLN,ENSCAFG00845007035,ENSCAFP00845009770.1,1:58763594:58775006:1
MCM9,ENSCAFG00845007138,ENSCAFP00845009916.1,1:58951798:59043905:-1
ASF1A,ENSCAFG00845007258,ENSCAFP00845010001.1,1:59006145:59024788:1
FAM184A,ENSCAFG00845007486,ENSCAFP00845010813.1,1:59089793:59199815:-1
MAN1A1,ENSCAFG00845008022,ENSCAFP00845011016.1,1:59293489:59463591:-1
TBC1D32,ENSCAFG00845008471,ENSCAFP00845012333.1,1:60866188:61072648:-1
GJA1,ENSCAFG00845009132,ENSCAFP00845012583.1,1:61130099:61143793:1
HSF2,ENSCAFG00845009283,ENSCAFP00845012812.1,1:61980454:62022669:1
SERINC1,ENSCAFG00845009412,ENSCAFP00845012936.1,1:61991620:62049856:-1
PKIB,ENSCAFG00845009539,ENSCAFP00845013197.1,1:62171110:62314381:1
CLVS2,ENSCAFG00845000009,ENSCAFP00845000007.1,1:62422597:62496418:1
TRDN,ENSCAFG00845000029,ENSCAFP00845000041.1,1:62606829:62967138:-1
NKAIN2,ENSCAFG00845000041,ENSCAFP00845000052.1,1:63115325:64065725:1
RNF217,ENSCAFG00845000044,ENSCAFP00845000055.1,1:64168718:64294050:1
TPD52L1,ENSCAFG00845000048,ENSCAFP00845000074.1,1:64327489:64425075:1
HDDC2,ENSCAFG00845000066,ENSCAFP00845000086.1,1:64430522:64456268:-1
HEY2,ENSCAFG00845000089,ENSCAFP00845000116.1,1:64839246:64850338:1
NCOA7,ENSCAFG00845000139,ENSCAFP00845000186.1,1:64864865:65025551:1
TRMT11,ENSCAFG00845000256,ENSCAFP00845000317.1,1:65036892:65127836:1
CENPW,ENSCAFG00845000327,ENSCAFP00845000343.1,1:65376495:65384045:1
EIF3L,ENSCAFG00845000377,ENSCAFP00845000396.1,1:66003561:66005622:-1
RSPO3,ENSCAFG00845000408,ENSCAFP00845000488.1,1:66047220:66133297:1
RNF146,ENSCAFG00845000458,ENSCAFP00845000560.1,1:66191009:66213917:1
ECHDC1,ENSCAFG00845000491,ENSCAFP00845000601.1,1:66215323:66262684:-1
KIAA0408,ENSCAFG00845000596,ENSCAFP00845000736.1,1:66334561:66352994:-1
MTCL3,ENSCAFG00845000537,ENSCAFP00845000704.1,1:66334561:66410731:-1
C6orf58,ENSCAFG00845000615,ENSCAFP00845000762.1,1:66479475:66498855:1
THEMIS,ENSCAFG00845000671,ENSCAFP00845000857.1,1:66571953:66748440:-1
PTPRK,ENSCAFG00845000839,ENSCAFP00845001448.1,1:66804292:67357612:-1
LAMA2,ENSCAFG00845001120,ENSCAFP00845001534.1,1:67721700:68304715:1
ARHGAP18,ENSCAFG00845001285,ENSCAFP00845001863.1,1:68355273:68474187:-1
L3MBTL3,ENSCAFG00845001425,ENSCAFP00845001985.1,1:68750219:68871355:1
SAMD3,ENSCAFG00845001494,ENSCAFP00845002168.1,1:68874848:68912399:-1
TMEM200A,ENSCAFG00845001609,ENSCAFP00845002209.1,1:69007395:69066131:1
EPB41L2,ENSCAFG00845002025,ENSCAFP00845003634.1,1:69358772:69451130:-1
AKAP7,ENSCAFG00845002773,ENSCAFP00845004025.1,1:69581960:69709309:1
FAM240B,ENSCAFG00845002888,ENSCAFP00845004065.1,1:70075909:70109548:1
ZNF782,ENSCAFG00845003018,ENSCAFP00845004264.1,1:70349713:70407613:1
ZNF510,ENSCAFG00845003072,ENSCAFP00845004313.1,1:70443919:70475230:1
PRXL2C,ENSCAFG00845003191,ENSCAFP00845004467.1,1:70498485:70509863:1
CDC14B,ENSCAFG00845003296,ENSCAFP00845004926.1,1:70532049:70635018:1
HABP4,ENSCAFG00845003506,ENSCAFP00845004965.1,1:70638460:70681444:-1
ZNF367,ENSCAFG00845003549,ENSCAFP00845005015.1,1:70762437:70786211:1
SLC35D2,ENSCAFG00845003593,ENSCAFP00845005257.1,1:70788085:70886492:1
ERCC6L2,ENSCAFG00845003753,ENSCAFP00845005423.1,1:70970561:71251480:-1
PTCH1,ENSCAFG00845003905,ENSCAFP00845005801.1,1:71542580:71613625:1
FANCC,ENSCAFG00845004921,ENSCAFP00845006966.1,1:71788780:71973067:1
AOPEP,ENSCAFG00845004982,ENSCAFP00845007057.1,1:71981050:72313868:-1
FBP1,ENSCAFG00845005020,ENSCAFP00845007104.1,1:72404164:72429918:1
FBP2,ENSCAFG00845005034,ENSCAFP00845007114.1,1:72440787:72490930:1
CTSL3,ENSCAFG00845005046,ENSCAFP00845007126.1,1:72520706:72523900:-1
DAPK1,ENSCAFG00845005073,ENSCAFP00845007184.1,1:72584369:72753293:-1
