Ensemble_id	GO_Term	type	desc
ENSCAFG00040018149.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00040018149.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00040018149.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845030664.1	GO:0045131	molecular_function	pre-mRNA branch point binding
ENSCAFG00845030664.1	GO:0000348	biological_process	mRNA branch site recognition
ENSCAFG00845030664.1	GO:0005686	cellular_component	U2 snRNP
ENSCAFG00845004878.1	GO:0017070	molecular_function	U6 snRNA binding
ENSCAFG00845004878.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845004878.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845004878.1	GO:0005687	cellular_component	U4 snRNP
ENSCAFG00845004878.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845012664.1	GO:0017070	molecular_function	U6 snRNA binding
ENSCAFG00845012664.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845012664.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845012664.1	GO:0005687	cellular_component	U4 snRNP
ENSCAFG00845012664.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845008799.1	GO:0017070	molecular_function	U6 snRNA binding
ENSCAFG00845008799.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845008799.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845008799.1	GO:0005687	cellular_component	U4 snRNP
ENSCAFG00845008799.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845028396.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845028396.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845028396.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845028396.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845028396.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845029965.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845029965.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845029965.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845029965.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845029965.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845002456.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845002456.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845002456.1	GO:0005682	cellular_component	U5 snRNP
ENSCAFG00845002456.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845013966.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845013966.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845028113.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845028113.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845001435.1	GO:0017070	molecular_function	U6 snRNA binding
ENSCAFG00845001435.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845001435.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845001435.1	GO:0005687	cellular_component	U4 snRNP
ENSCAFG00845001435.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845005117.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845005117.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845006493.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845006493.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845006493.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845006493.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845006493.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845026920.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845026920.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845026920.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845026920.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845026920.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845002171.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845002171.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845002171.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845002171.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845002171.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845015864.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845015864.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845005092.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845005092.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845005092.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845005092.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845005092.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00000025979.2	GO:0006396	biological_process	RNA processing
ENSCAFG00000025979.2	GO:0005730	cellular_component	nucleolus
ENSCAFG00845001128.1	GO:0017070	molecular_function	U6 snRNA binding
ENSCAFG00845001128.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845001128.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845001128.1	GO:0005687	cellular_component	U4 snRNP
ENSCAFG00845001128.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845016774.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845016774.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845016774.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845016774.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845016774.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845000588.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845000588.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845000588.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845000588.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845000588.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845011437.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845011437.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845011437.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845011437.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845011437.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845022774.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845022774.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845022774.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845022774.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845022774.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845015094.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845015094.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845015094.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845015094.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845015094.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845012723.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845012723.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845012723.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845012723.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845012723.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845020383.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845020383.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845020383.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845020383.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845020383.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845009771.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845009771.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845000386.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845000386.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845000386.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845000386.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845000386.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845001436.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845001436.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845001436.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845001436.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845001436.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845019622.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845019622.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845007950.1	GO:0045131	molecular_function	pre-mRNA branch point binding
ENSCAFG00845007950.1	GO:0000348	biological_process	mRNA branch site recognition
ENSCAFG00845007950.1	GO:0005686	cellular_component	U2 snRNP
ENSCAFG00030022433.1	GO:0006396	biological_process	RNA processing
ENSCAFG00030022433.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845026867.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845026867.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845026867.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845026867.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845026867.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845018586.1	GO:0045131	molecular_function	pre-mRNA branch point binding
ENSCAFG00845018586.1	GO:0000348	biological_process	mRNA branch site recognition
ENSCAFG00845018586.1	GO:0005686	cellular_component	U2 snRNP
ENSCAFG00845019331.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845019331.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845019331.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845019331.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845019331.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845019672.1	GO:0045131	molecular_function	pre-mRNA branch point binding
ENSCAFG00845019672.1	GO:0000348	biological_process	mRNA branch site recognition
ENSCAFG00845019672.1	GO:0005686	cellular_component	U2 snRNP
ENSCAFG00845022715.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845022715.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845022715.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845022715.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845022715.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845022644.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845022644.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845028075.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845028075.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845028075.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845028075.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845028075.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845014854.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845014854.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845014854.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845014854.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845014854.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845020922.1	GO:0030622	molecular_function	U4atac snRNA binding
ENSCAFG00845020922.1	GO:0030627	molecular_function	pre-mRNA 5'-splice site binding
ENSCAFG00845020922.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845020922.1	GO:0000395	biological_process	mRNA 5'-splice site recognition
ENSCAFG00845020922.1	GO:0005691	cellular_component	U6atac snRNP
ENSCAFG00845022830.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845022830.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845016074.1	GO:0017070	molecular_function	U6 snRNA binding
ENSCAFG00845016074.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845016074.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845016074.1	GO:0005687	cellular_component	U4 snRNP
ENSCAFG00845016074.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845002520.1	GO:0006617	biological_process	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition
ENSCAFG00845002520.1	GO:0005786	cellular_component	signal recognition particle, endoplasmic reticulum targeting
ENSCAFG00845005043.1	GO:0045131	molecular_function	pre-mRNA branch point binding
ENSCAFG00845005043.1	GO:0000348	biological_process	mRNA branch site recognition
ENSCAFG00845005043.1	GO:0005686	cellular_component	U2 snRNP
ENSCAFG00030022171.1	GO:0006396	biological_process	RNA processing
ENSCAFG00030022171.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845024591.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845024591.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845024591.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845024591.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845024591.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845022961.1	GO:0045131	molecular_function	pre-mRNA branch point binding
ENSCAFG00845022961.1	GO:0000348	biological_process	mRNA branch site recognition
ENSCAFG00845022961.1	GO:0005686	cellular_component	U2 snRNP
ENSCAFG00845016266.1	GO:0017070	molecular_function	U6 snRNA binding
ENSCAFG00845016266.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845016266.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845016266.1	GO:0005687	cellular_component	U4 snRNP
ENSCAFG00845016266.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845014761.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845014761.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845005096.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845005096.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845005096.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845005096.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845005096.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845004870.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845004870.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00040019013.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00040019013.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00040019013.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00040019013.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00040019013.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845001868.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845001868.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845009743.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845009743.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845009743.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845009743.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845009743.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00040003899.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00040003899.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00040003899.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
